date,campaign,source,spending,clicks
2023-02-07,campaign_1,a,0.8289026391148598,7
2023-02-07,campaign_2,a,8.757485073927423,1
2023-02-07,campaign_3,a,1.7958999452277036,1
2023-02-07,campaign_10,b,5.042685186391472,6
2023-02-07,campaign_4,b,7.171069556235602,8
2023-02-07,campaign_5,b,8.870710110013626,3
2023-02-07,campaign_6,b,0.622380444399728,1
2023-02-07,campaign_7,b,3.3482121548187336,2
2023-02-07,campaign_8,b,0.9561555222109782,5
2023-02-07,campaign_9,b,1.980574993087893,7
2023-02-13,campaign_1,a,6.176344731599751,5
2023-02-13,campaign_2,a,7.267389729352968,9
2023-02-13,campaign_3,a,2.046485237933596,9
2023-02-13,campaign_10,b,7.488455875018901,7
2023-02-13,campaign_4,b,6.849619910575706,10
2023-02-13,campaign_5,b,3.520803051564242,8
2023-02-13,campaign_6,b,7.35325229806666,9
2023-02-13,campaign_7,b,7.716176119657192,2
2023-02-13,campaign_8,b,4.507362982608179,2
2023-02-13,campaign_9,b,1.4422679575496022,2
2023-01-13,campaign_1,a,5.04356108327781,3
2023-01-13,campaign_2,a,5.272960681587334,2
2023-01-13,campaign_3,a,0.7875144312709446,3
2023-01-13,campaign_10,b,2.0069853295353135,10
2023-01-13,campaign_4,b,9.469517473617532,5
2023-01-13,campaign_5,b,4.26156836291194,9
2023-01-13,campaign_6,b,3.893154799495636,10
2023-01-13,campaign_7,b,3.9034337709504245,1
2023-01-13,campaign_8,b,8.271388639584561,10
2023-01-13,campaign_9,b,9.158368876846843,3
2023-01-09,campaign_1,a,1.7129137620213448,9
2023-01-09,campaign_2,a,9.994808683492113,3
2023-01-09,campaign_3,a,7.516051190605126,6
2023-01-09,campaign_10,b,2.802410964290635,7
2023-01-09,campaign_4,b,5.15764647638417,7
2023-01-09,campaign_5,b,3.7034582920253176,8
2023-01-09,campaign_6,b,9.590267911313981,2
2023-01-09,campaign_7,b,2.183671629148135,2
2023-01-09,campaign_8,b,7.231618666794954,10
2023-01-09,campaign_9,b,2.4600369014253034,3
2023-01-10,campaign_1,a,4.075994685495525,6
2023-01-10,campaign_2,a,1.0402510224354737,8
2023-01-10,campaign_3,a,9.1679590484939,1
2023-01-10,campaign_10,b,7.0738000179392415,4
2023-01-10,campaign_4,b,8.55565991418722,1
2023-01-10,campaign_5,b,7.966255086876038,6
2023-01-10,campaign_6,b,8.507438130179805,5
2023-01-10,campaign_7,b,7.780203902480087,9
2023-01-10,campaign_8,b,1.3845350944194652,6
2023-01-10,campaign_9,b,7.7589690704408625,5
2023-01-12,campaign_1,a,7.94361857129314,10
2023-01-12,campaign_2,a,8.692168139040485,2
2023-01-12,campaign_3,a,5.685596201531713,2
2023-01-12,campaign_10,b,1.64661545577876,2
2023-01-12,campaign_4,b,4.306577045830132,9
2023-01-12,campaign_5,b,0.8452236381414696,5
2023-01-12,campaign_6,b,2.3512317809736993,10
2023-01-12,campaign_7,b,7.185315373601209,7
2023-01-12,campaign_8,b,1.270542366414014,6
2023-01-12,campaign_9,b,2.3556709682740924,6
2023-01-06,campaign_1,a,5.457697326049042,4
2023-01-06,campaign_2,a,5.154027806554624,10
2023-01-06,campaign_3,a,4.716056586867937,9
2023-01-06,campaign_10,b,4.143228327548898,1
2023-01-06,campaign_4,b,0.9155636621498618,10
2023-01-06,campaign_5,b,9.378099537886746,7
2023-01-06,campaign_6,b,6.632331029576699,10
2023-01-06,campaign_7,b,3.9299726890481517,1
2023-01-06,campaign_8,b,5.928347617687396,2
2023-01-06,campaign_9,b,8.346799176628501,6
2023-01-16,campaign_1,a,5.939053574318792,6
2023-01-16,campaign_2,a,9.947259996305702,4
2023-01-16,campaign_3,a,8.652564304776048,2
2023-01-16,campaign_10,b,3.075154559670265,10
2023-01-16,campaign_4,b,0.42486482489864996,5
