order_id,user_id,product_id,order_date,quantity
1,448,2,2023-02-07,2
2,225,7,2023-02-13,6
3,80,5,2023-01-13,3
4,128,6,2023-01-09,5
5,483,6,2023-01-10,3
6,298,10,2023-01-12,3
7,423,6,2023-01-06,3
8,40,2,2023-01-16,4
9,7,11,2023-01-01,1
10,101,18,2023-01-17,3
11,9,9,2023-01-02,4
12,257,16,2023-01-13,1
13,88,17,2023-01-08,4
14,427,4,2023-02-15,2
15,403,13,2023-01-07,7
16,301,2,2023-01-26,3
17,428,3,2023-02-20,2
18,350,7,2023-01-21,2
19,102,13,2023-02-07,4
20,390,18,2023-01-19,4
21,131,12,2023-01-21,4
22,447,5,2023-01-12,4
23,489,4,2023-02-12,2
24,421,10,2023-01-29,5
25,351,3,2023-01-30,7
26,126,18,2023-01-15,2
27,188,3,2023-02-20,5
28,340,2,2023-01-05,4
29,404,8,2023-01-24,1
30,280,3,2023-01-24,2
31,253,2,2023-02-11,2
32,415,18,2023-02-19,1
33,146,3,2023-02-25,6
34,355,7,2023-01-31,7
35,168,6,2023-02-02,3
36,56,4,2023-01-23,1
37,280,12,2023-01-14,1
38,273,11,2023-02-11,1
39,394,10,2023-01-10,3
40,348,2,2023-01-08,4
41,31,3,2023-01-23,4
42,177,11,2023-02-27,3
43,178,9,2023-01-02,4
44,38,15,2023-01-01,6
45,52,7,2023-01-18,4
46,150,20,2023-01-09,27
47,385,15,2023-01-25,2
48,160,13,2023-01-14,7
49,94,3,2023-02-21,5
50,147,12,2023-02-17,2
51,296,8,2023-02-12,2
52,45,10,2023-02-27,5
53,50,12,2023-01-09,1
54,429,20,2023-01-31,23
55,24,16,2023-01-08,4
56,293,10,2023-01-04,2
57,338,7,2023-01-07,5
58,254,7,2023-01-22,4
59,346,12,2023-02-19,1
60,70,10,2023-02-27,2
61,364,17,2023-01-04,4
62,459,2,2023-01-05,1
63,86,8,2023-01-25,1
64,69,18,2023-02-19,4
65,62,15,2023-02-13,7
66,44,6,2023-01-13,6
67,175,20,2023-01-27,22
68,110,10,2023-02-22,4
69,438,11,2023-01-17,2
70,203,15,2023-02-15,4
71,13,10,2023-02-21,3
72,164,17,2023-02-11,1
73,274,8,2023-01-19,4
74,140,8,2023-01-16,3
75,261,4,2023-01-01,1
